[URL],[Titulo],[Fecha],[Snippet]
https://www.sinembargo.mx/10-02-2012/146950,Persistirá temporal de lluvias hasta el domingo: Sinaproc ...,10 Feb 2012,"10 Feb 2012 ... En su alerta hidrometeorológica precisó que se esperan lluvias intensas en el ... 
en zonas altas y de sierra del Distrito Federal y de los estados de México, 
Tlaxcala, Puebla y Veracruz. ... ligeras inundaciones y deslaves en estados con 
pronóstico de lluvias fuertes a intensas. ... Por Gustavo De la Rosa."
https://www.sinembargo.mx/25-02-2012/163133,Alertan a 18 estados por lluvias de moderadas a muy fuertes ...,25 Feb 2012,"25 Feb 2012 ... Protección Civil precisó que habrá lluvias muy fuertes en el centro y sur y oriente 
de ... En Nuevo León, Tamaulipas, San Luis Potosí, Querétaro, México, Distrito 
Federal, Morelos y Tlaxcala se ... a tomar sus precauciones ante posibles 
encharcamientos y ligeras inundaciones. ... Por Gustavo De la Rosa."
https://www.excelsior.com.mx/2012/03/29/comunidad/822461,Se registra lluvia en la Ciudad de México - Excélsior,29 Mar 2012,"29 Mar 2012 ... La Secretaría de Protección Civil del Distrito Federal reportó que la lluvia de ... 
Venustiano Carranza, Azcapotzalco, Tláhuac y Gustavo A. Madero. ... no tirar 
basura en la vía pública y alcantarillas a fin de evitar inundaciones."
https://www.eleconomista.com.mx/politica/Reportan-lluvia-en-11-delegaciones-del-DF-20120329-0047.html,Reportan lluvia en 11 delegaciones del DF | El Economista,29 Mar 2012,"29 Mar 2012 ... La Secretaría de Protección Civil del Distrito Federal reportó que la lluvia de esta 
... Gustavo A. Madero ... de Aguas de la Ciudad de México, el Heroico Cuerpo de 
Bomberos y la ... La dependencia local recomendó a la población no tirar basura 
en la vía pública y alcantarillas a fin de evitar inundaciones."
http://www.sinembargo.mx/22-03-2012/187050,"DÍA MUNDIAL DEL AGUA: DRENAJE, SIN PAZ | SinEmbargo MX",22 Mar 2012,"22 Mar 2012 ... En el valle de México, el riesgo de inundaciones siempre está presente. ... en el 
límite de la Delegación Gustavo A. Madero, Distrito Federal, ..."
https://www.sinembargo.mx/18-03-2012/182925,ACCIONES DE RECICLAJE QUE DESARROLLAN CIUDADES ...,18 Mar 2012,"18 Mar 2012 ... Innovación México es un proyecto de Verde MX que lidera la construcción de ... 
sólidos, la Secretaría del Medio Ambiente del Gobierno del Distrito Federal 
realizó el pasado 4 de marzo. ... Reducen inundaciones ya que retienen buena 
parte del agua de lluvia en tormentas. ... Gustavo Rodriguez O. dice:."
https://www.excelsior.com.mx/2012/04/19/comunidad/827687,Buscan evitar inundación en la próxima temporada de lluvias,19 Abr 2012,"19 Abr 2012 ... A 45 metros de profundidad, en los límites de la delegación Gustavo A. Madero y 
... general del Sistema de Aguas de la Ciudad de México (SACM), aseguró que 
una ... Con el fin de evitar inundaciones en diversas zonas de la ciudad, ... en la 
Asamblea Legislativa del Distrito Federal (ALDF) solicitó a los ..."
https://www.eleconomista.com.mx/politica/Drenaje-profundo-estara-listo-antes-de-las-lluvias-Ebrard-20120411-0077.html,Drenaje profundo estará listo antes de las lluvias: Ebrard | El ...,11 Abr 2012,"11 Abr 2012 ... Vamos a terminar en tiempo, antes de la temporada de lluvias , aseveró el ... en 
la delegación Gustavo A. Madero, el Ejecutivo local destacó que como parte ... 
para que no se tape, pues de lo contrario la situación deriva en inundaciones. A 
su vez, el director del Sistema de Aguas de la Ciudad de México, ..."
https://www.sinembargo.mx/25-04-2012/216634,Inauguran planta de bombeo contra inundaciones en sur del DF ...,25 Abr 2012,"25 Abr 2012 ... México, 25 Abr. (Notimex).- El jefe del Gobierno del Distrito Federal, Marcelo 
Ebrard, inauguró la planta de ... La obra, que se ubica en Periférico Sur, también 
protegerá de inundaciones a las ... Por Gustavo De la Rosa."
http://www.excelsior.com.mx/periodico/flip-comunidad/19-04-2012/portada.pdf,el pT “edita” con plumón,19 Abr 2012,"19 Abr 2012 ... Zona Maco arrancó ayer en el Distrito Federal su ... épOCa DE LLuviaS. 45 ... 
inundación>6 ... Marcelo Ebrard destacó la relación entre México y España, que 
... Juan Dueñas, lider del PAN-DF, y Gustavo Anzaldo, consejero."
